config,stage,seed,k,lofo_prauc
"depth=4, lr=0.02",STAGE 1/6 depth x lr,42,950,0.7506505357101091
"depth=4, lr=0.02",STAGE 1/6 depth x lr,42,1000,0.7507403663889326
"depth=4, lr=0.02",STAGE 1/6 depth x lr,42,1050,0.7511297410264076
"depth=4, lr=0.02",STAGE 1/6 depth x lr,42,1100,0.7510448845238069
"depth=4, lr=0.02",STAGE 1/6 depth x lr,42,1150,0.7504919580363825
"depth=4, lr=0.02",STAGE 1/6 depth x lr,42,1200,0.7502019517396511
"depth=4, lr=0.02",STAGE 1/6 depth x lr,42,1250,0.7500766106219505
"depth=4, lr=0.02",STAGE 1/6 depth x lr,42,1300,0.7497452625508143
"depth=4, lr=0.02",STAGE 1/6 depth x lr,42,1350,0.7492438058818325
"depth=4, lr=0.02",STAGE 1/6 depth x lr,42,1400,0.7494004201756221
"depth=4, lr=0.02",STAGE 1/6 depth x lr,42,1450,0.7493287138595752
"depth=4, lr=0.02",STAGE 1/6 depth x lr,42,1500,0.7495038814405022
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,50,0.7277931571685125
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,100,0.7455371961668343
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,150,0.7508805375905334
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,160,0.7515352760994073
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,170,0.7523768935880709
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,180,0.753421743623176
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,190,0.7536554207595837
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,200,0.753840526840261
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,210,0.7532118998804949
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,220,0.7544350115479649
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,230,0.7534631578818854
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,240,0.7539478579087452
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,250,0.7527050862144329
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,300,0.7532456432877903
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,310,0.7536302484467928
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,320,0.7536261564323975
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,330,0.7536332699275695
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,340,0.7535316892105708
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,350,0.7538572792443885
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,360,0.7536581760352191
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,370,0.7535935892606983
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,380,0.7538323774649879
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,390,0.7535651219542056
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,400,0.753486498175459
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,450,0.7525837132204284
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,500,0.7504807338636782
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,550,0.7513415332149603
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,600,0.7511228792256988
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,650,0.7510208349877253
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,700,0.7504280942175837
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,750,0.7504084572590219
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,800,0.75069878246913
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,850,0.7507111237631877
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,900,0.7502613369811131
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,950,0.7489715744094247
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,1000,0.749146191110353
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,1050,0.7491954635042741
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,1100,0.749228172401727
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,1150,0.7489554472824986
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,1200,0.7489828754854692
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,1250,0.7482760955213695
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,1300,0.7475450039099132
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,1350,0.7475842881214356
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,1400,0.7476964095381742
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,1450,0.7474116709650135
"depth=4, lr=0.05",STAGE 1/6 depth x lr,42,1500,0.7471589281581429
"depth=5, lr=0.01",STAGE 1/6 depth x lr,42,50,0.6989880214049985
"depth=5, lr=0.01",STAGE 1/6 depth x lr,42,100,0.7158565176684412
"depth=5, lr=0.01",STAGE 1/6 depth x lr,42,150,0.7236683951470468
"depth=5, lr=0.01",STAGE 1/6 depth x lr,42,200,0.7297202715371406
"depth=5, lr=0.01",STAGE 1/6 depth x lr,42,250,0.73241183155892
"depth=5, lr=0.01",STAGE 1/6 depth x lr,42,300,0.7349826695013928
"depth=5, lr=0.01",STAGE 1/6 depth x lr,42,350,0.7373596012203977
"depth=5, lr=0.01",STAGE 1/6 depth x lr,42,400,0.7399928764306685
"depth=5, lr=0.01",STAGE 1/6 depth x lr,42,450,0.7410439985721626
"depth=5, lr=0.01",STAGE 1/6 depth x lr,42,500,0.74269531336481
"depth=5, lr=0.01",STAGE 1/6 depth x lr,42,550,0.7441704598911156
"depth=5, lr=0.01",STAGE 1/6 depth x lr,42,600,0.7448813791901019
"depth=5, lr=0.01",STAGE 1/6 depth x lr,42,650,0.7458033426291438
"depth=5, lr=0.01",STAGE 1/6 depth x lr,42,700,0.7461955408749247
"depth=5, lr=0.01",STAGE 1/6 depth x lr,42,750,0.7471360184494571
"depth=5, lr=0.01",STAGE 1/6 depth x lr,42,800,0.7473311159000917
"depth=5, lr=0.01",STAGE 1/6 depth x lr,42,850,0.7475482019623325
"depth=5, lr=0.01",STAGE 1/6 depth x lr,42,900,0.747884841222707
"depth=5, lr=0.01",STAGE 1/6 depth x lr,42,950,0.7483269048318554
"depth=5, lr=0.01",STAGE 1/6 depth x lr,42,1000,0.748556017236122
"depth=5, lr=0.01",STAGE 1/6 depth x lr,42,1050,0.7492211397219276
"depth=5, lr=0.01",STAGE 1/6 depth x lr,42,1100,0.749301751676973
"depth=5, lr=0.01",STAGE 1/6 depth x lr,42,1150,0.749271595362422
"depth=5, lr=0.01",STAGE 1/6 depth x lr,42,1200,0.749544035327585
"depth=5, lr=0.01",STAGE 1/6 depth x lr,42,1250,0.7494607128647691
"depth=5, lr=0.01",STAGE 1/6 depth x lr,42,1260,0.7496428812597216
