site_uid,n,lifespan_yr,sparsity,mean,med,std,vmin,vmax,pct_neg,pct_out,ac1,noise,roughness,spike_rate,flatline_frac,seg_noise,seg_flat,seasonal_coherence,z_mean,z_std,z_noise,z_ac1,z_seasonal_coherence,z_flatline_frac,z_seg_noise,z_seg_flat,known_bad,in_manifest
WQS0062,90781.0,1.363,0.9342,8.656,10.47,4.624,0.14,24.72,0.0,0.0,0.9985,0.0552,0.0703,0.088,2.58,0.9374,0.0715,0.7976536660695556,0.85,0.76,0.01,0.0,0.58,-0.39,0.47,-0.26,False,True
WQS0063,472511.0,9.018,0.971,6.033,5.42,3.563,0.11,25.97,0.0,0.0,0.9978,0.0662,0.0918,0.108,3.47,1.0358,4.5065,0.5665590197642537,-0.12,0.15,0.26,-0.36,-0.09,-0.14,0.68,8.0,False,True
WQS0064,340901.0,8.479,0.8007,5.645,5.69,3.507,0.11,35.92,0.0,0.0,0.9944,0.1061,0.069,0.221,10.02,1.044,0.1455,0.04228926893177328,-0.26,0.12,1.19,-2.13,-1.62,1.71,0.7,0.45,False,True
WQS0065,300209.0,8.988,0.6704,4.651,4.86,3.351,0.11,45.72,0.0,0.0,0.9973,0.0737,0.0703,0.099,2.79,1.1112,0.0915,0.0974556435169465,-0.63,0.03,0.44,-0.62,-1.46,-0.33,0.85,-0.07,False,True
WQS0066,390905.0,8.495,0.8326,4.565,3.6,3.295,0.11,21.16,0.0,0.0,0.9956,0.0937,0.0571,0.202,3.11,1.4736,0.1,0.23332682866650464,-0.66,-0.01,0.9,-1.5,-1.06,-0.24,1.63,0.01,False,True
WQS0067,393626.0,8.762,0.941,6.246,5.65,4.11,0.11,15.61,0.0,0.0,0.9991,0.0416,0.0308,0.07,4.41,0.7948,0.371,0.5486786524838225,-0.04,0.46,-0.31,0.31,-0.14,0.13,0.16,2.61,False,True
WQS0068,290.0,1.616,0.0025,3.861,3.86,0.046,3.52,3.96,0.0,0.0,0.3754,1.066,0.0633,0.0,0.0,,,0.8053592652898921,-0.92,-1.87,8.0,-8.0,0.61,-1.12,,,False,True
WQS0069,283470.0,5.461,0.8383,5.906,6.02,2.923,0.11,25.97,0.0,0.0,0.9993,0.037,0.0206,0.022,5.75,0.6367,0.2995,0.706079995789498,-0.17,-0.22,-0.41,0.42,0.32,0.5,-0.18,1.93,False,True
WQS0070,337211.0,5.281,0.9997,6.772,6.89,2.721,0.16,14.67,0.0,0.0,0.9998,0.0217,0.0272,0.002,5.52,1.0931,0.1055,0.932812161430423,0.15,-0.34,-0.77,0.67,0.98,0.44,0.81,0.06,False,True
WQS0071,460894.0,6.366,0.9995,6.863,7.21,2.586,0.11,39.66,0.0,0.0,0.997,0.0779,0.0297,0.07,7.54,0.8894,0.278,0.8421944822221095,0.18,-0.41,0.54,-0.78,0.71,1.01,0.37,1.72,False,True
WQS0072,295860.0,5.223,0.8783,3.594,3.45,2.59,0.11,49.05,0.0,0.004,0.9904,0.1386,0.0791,0.22,4.92,1.3675,0.0915,0.8337646155828679,-1.02,-0.41,1.95,-4.2,0.69,0.27,1.4,-0.07,False,True
WQS0073,340004.0,7.126,0.7746,7.243,8.13,3.152,0.11,49.51,0.0,0.001,0.9828,0.1854,0.1348,0.249,1.88,1.4096,0.0565,0.8334706745794443,0.32,-0.09,3.03,-8.0,0.69,-0.59,1.49,-0.41,False,True
WQS0074,237972.0,5.483,0.8663,6.324,6.74,3.944,0.11,25.97,0.0,0.0,0.9965,0.0834,0.0593,0.051,1.25,0.4668,0.2615,0.7608659731376493,-0.01,0.37,0.66,-1.04,0.48,-0.77,-0.55,1.56,False,True
WQS0075,110956.0,4.247,0.6948,6.401,7.44,2.956,0.11,25.97,0.0,0.0,0.9845,0.1759,0.2007,0.616,2.0,1.4079,0.0415,-0.02876874769859978,0.01,-0.2,2.81,-7.26,-1.83,-0.56,1.49,-0.55,True,True
WQS0076,242889.0,4.657,0.9369,0.454,0.4,0.35,0.11,4.52,0.0,0.0,0.996,0.0891,0.0127,0.001,10.85,0.6774,0.071,-0.07344280881719527,-2.18,-1.7,0.8,-1.3,-1.96,1.95,-0.09,-0.27,False,True
WQS0077,3765.0,0.139,0.9995,4.913,4.45,3.205,0.85,15.59,0.0,0.0,0.9986,0.0523,0.1276,0.027,0.0,,,0.13672128183503798,-0.53,-0.06,-0.06,0.05,-1.35,-1.12,,,False,True
WQS0078,4398.0,0.506,0.3534,12.958,16.21,5.973,0.14,18.3,0.0,0.0,0.9983,0.0587,0.077,0.068,0.0,0.0637,0.004,0.6363049284074366,2.43,1.53,0.09,-0.1,0.11,-1.12,-1.42,-0.91,False,True
WQS0079,0.0,6.242,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,True
WQS0080,374043.0,4.654,0.8313,9.373,3.97,11.485,0.11,50.0,0.0,0.383,1.0,0.0084,0.02,0.024,7.2,0.6305,0.0945,-0.08691931577231538,1.11,4.7,-1.08,0.78,-2.0,0.91,-0.19,-0.04,False,True
WQS0081,398360.0,8.172,0.8759,7.231,6.95,5.509,0.11,30.16,0.0,0.0,0.9997,0.0242,0.0327,0.025,4.53,0.3149,1.2555,0.926895590297036,0.32,1.27,-0.71,0.62,0.96,0.16,-0.88,8.0,False,True
WQS0082,5422.0,5.583,0.0143,6.78,7.945,4.152,0.11,11.68,0.0,0.0,0.9998,0.0222,0.0463,0.0,0.46,0.0819,0.0035,0.9145780174393119,0.15,0.49,-0.76,0.67,0.93,-0.99,-1.38,-0.92,False,True
WQS0083,476801.0,7.885,0.9308,4.056,3.69,2.846,0.11,16.91,0.0,0.0,0.9997,0.023,0.0237,0.005,3.97,1.1403,0.0815,0.815635315832774,-0.85,-0.26,-0.74,0.62,0.64,0.0,0.91,-0.17,False,True
WQS0084,417625.0,7.836,0.872,6.213,5.69,3.588,0.11,25.97,0.0,0.0,0.9965,0.0839,0.0476,0.161,5.53,1.4289,0.2255,0.7250836946967388,-0.06,0.16,0.68,-1.04,0.37,0.44,1.53,1.21,False,True
WQS0085,96.0,0.022,0.9897,3.386,3.38,0.018,3.36,3.43,0.0,0.0,0.7791,0.6544,0.0156,0.0,0.0,,,-1.0,-1.1,-1.89,8.0,-8.0,-4.67,-1.12,,,False,True
WQS0086,0.0,0.635,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,True
WQS0087,0.0,3.083,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,True
WQS0088,229517.0,12.411,0.6742,7.833,7.74,4.622,0.11,25.97,0.0,0.0,0.9955,0.0952,0.0741,0.281,3.31,1.2412,0.0565,0.7865255951859534,0.54,0.76,0.94,-1.56,0.55,-0.19,1.13,-0.41,True,True
WQS0089,0.0,0.981,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,True
