Row,site_uid,decision,decided_by,note,criterion_version,question,station_name,site_type,site_type_source,site_type_conflict,ambiguity,snap_status,snap_dist_m,source
75,USGS:01474501,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?","Schuylkill River near 30th St at Philadelphia, PA",tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,57.83,USGS
76,USGS:01474703,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?","Delaware River at Fort Mifflin at Philadelphia, PA",tidal_stream,human_review,nhd_tidal,conflict_tidal,far,616.85,USGS
77,USGS:01475553,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?","Darby Creek at 84th St Bridge at Eastwick,PA",tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,20.24,USGS
78,USGS:01477050,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",DELAWARE RIVER AT CHESTER PA,tidal_stream,human_review,nhd_tidal,conflict_tidal,far,652.79,USGS
79,USGS:01477120,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",Raccoon Creek near Swedesboro NJ,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,2.83,USGS
80,USGS:01477200,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?","Delaware River at Marcus Hook, PA",tidal_stream,human_review,nhd_tidal,conflict_tidal,far,584.46,USGS
81,USGS:01479000,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?","WHITE CLAY CREEK NEAR NEWARK, DE",tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,32.2,USGS
82,USGS:01480025,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?","WHITE CLAY CREEK AT STANTON, DE",tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,10.18,USGS
83,USGS:01482537,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",Salem River at Courses Landing NJ,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,34.15,USGS
84,USGS:01482695,canal,auto (type rule 3),tidal-marked reach; tidal influence does not retype this site,type-v1,"KEPT as canal (human review), but this reach is marked tidal. Tidally influenced?","C AND D CANAL NR DELAWARE CITY, DE",canal,human_review,nhd_tidal,conflict_tidal,ok,146.25,USGS
85,USGS:01483170,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?","DOVE NEST BRANCH NEAR ODESSA, DE",tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,3.1,USGS
